,position,beta,z,gross_return,cost_drag,net_return,equity,turnover
2016-12-02,0.0,1.1620181862177992,1.0679277852816118,0.0,0.0,0.0,1000000.0,0.0
2016-12-05,0.0,1.1636481079503456,-0.5542690744758115,-0.0,0.0,-0.0,1000000.0,0.0
2016-12-06,0.0,1.1629012362531825,0.22116333452978518,0.0,0.0,0.0,1000000.0,0.0
2016-12-07,0.0,1.1629962080814173,-1.6254514080808264,0.0,0.0,0.0,1000000.0,0.0
2016-12-08,0.0,1.1626393468505398,-0.013816291417409358,0.0,0.0,0.0,1000000.0,0.0
2016-12-09,0.0,1.1626179539202899,-0.6794345301671093,0.0,0.0,0.0,1000000.0,0.0
2016-12-12,0.0,1.1621144383712216,-0.22746269531881344,0.0,0.0,0.0,1000000.0,0.0
2016-12-13,0.0,1.1617638459559814,-1.5062987532484073,-0.0,0.0,-0.0,1000000.0,0.0
2016-12-14,0.0,1.159013688213746,0.45025288213007525,0.0,0.0,0.0,1000000.0,0.0
2016-12-15,0.0,1.159234489074013,-1.2950397651844607,0.0,0.0,0.0,1000000.0,0.0
2016-12-16,0.0,1.1585476381824136,0.07219551176040576,0.0,0.0,0.0,1000000.0,0.0
2016-12-19,0.0,1.1587042449002458,-1.156623214545983,0.0,0.0,0.0,1000000.0,0.0
2016-12-20,0.0,1.157302476781232,-0.7237901629140823,0.0,0.0,0.0,1000000.0,0.0
2016-12-21,0.0,1.1567152368348457,1.2896585872315256,0.0,0.0,0.0,1000000.0,0.0
2016-12-22,0.0,1.1574560002262897,0.7840042883676483,0.0,0.0,0.0,1000000.0,0.0
2016-12-23,0.0,1.1580708286406263,1.344952731526432,0.0,0.0,0.0,1000000.0,0.0
2016-12-26,0.0,1.158826516427398,1.4740165190417824,0.0,0.0,0.0,1000000.0,0.0
2016-12-27,0.0,1.1615092292440763,-0.6710705240300214,0.0,0.0,0.0,1000000.0,0.0
2016-12-28,0.0,1.1608701296465997,1.251605733120336,0.0,0.0,0.0,1000000.0,0.0
2016-12-29,0.0,1.1635251071971462,-1.3040772547922357,0.0,0.0,0.0,1000000.0,0.0
2016-12-30,0.0,1.161896921049774,0.7316428732879783,0.0,0.0,0.0,1000000.0,0.0
2017-01-02,0.0,1.1624468429467694,-0.4177851753780765,0.0,0.0,0.0,1000000.0,0.0
2017-01-03,0.0,1.1619953663465672,-0.6723963084436412,0.0,0.0,0.0,1000000.0,0.0
2017-01-04,0.0,1.1621347711708323,0.6003144634697432,0.0,0.0,0.0,1000000.0,0.0
2017-01-05,0.0,1.162910872284756,0.9120685435974589,0.0,0.0,0.0,1000000.0,0.0
2017-01-06,0.0,1.1640541395102608,0.758429426939226,0.0,0.0,0.0,1000000.0,0.0
2017-01-09,0.0,1.1655644587576803,0.3780344702408317,0.0,0.0,0.0,1000000.0,0.0
2017-01-10,0.0,1.1655030130576218,-0.016558028709727644,0.0,0.0,0.0,1000000.0,0.0
2017-01-11,0.0,1.1654728846189784,0.40482542978716896,0.0,0.0,0.0,1000000.0,0.0
2017-01-12,0.0,1.166141284141587,0.10888642974133969,0.0,0.0,0.0,1000000.0,0.0
2017-01-13,0.0,1.1663451093680253,0.4869663598796829,0.0,0.0,0.0,1000000.0,0.0
2017-01-16,0.0,1.1669501185206372,0.059626422295726796,0.0,0.0,0.0,1000000.0,0.0
2017-01-17,0.0,1.1670314246001032,1.0719783877193274,0.0,0.0,0.0,1000000.0,0.0
2017-01-18,0.0,1.167495683926421,-1.9350121674347691,-0.0,0.0,-0.0,1000000.0,0.0
2017-01-19,0.0,1.1649033982129333,-0.145481371205983,0.0,0.0,0.0,1000000.0,0.0
2017-01-20,0.0,1.1648187955297515,-1.3968913641850311,0.0,0.0,0.0,1000000.0,0.0
2017-01-23,0.0,1.1645374485516105,0.40521655579485893,0.0,0.0,0.0,1000000.0,0.0
2017-01-24,0.0,1.1647127263585666,1.8231938182171,0.0,0.0,0.0,1000000.0,0.0
2017-01-25,0.0,1.1664239776344723,-0.5113460015217772,0.0,0.0,0.0,1000000.0,0.0
2017-01-26,0.0,1.1660628072447767,0.020121969120814938,0.0,0.0,0.0,1000000.0,0.0
2017-01-27,0.0,1.1660872476635098,1.072702038451767,0.0,0.0,0.0,1000000.0,0.0
2017-01-30,0.0,1.1663266375315042,-2.1175620999760474,0.0,0.0,0.0,1000000.0,0.0
2017-01-31,1.0,1.1665723160216208,-0.7721134351499745,-0.0015810527606964241,0.0007,-0.0022810527606964242,997718.9472393035,1.0
2017-02-01,1.0,1.1651369764286783,0.30851541855266,0.0006951582962911021,4.283750162404787e-07,0.0006947299212748616,998412.0924449736,0.0006119643089149696
2017-02-02,0.0,1.16563672017777,-2.6552352012163363,0.0,0.0007,-0.0007,997713.203980262,1.0
